Timestamp,Language,Toss1_Heads,Toss2_Heads,Toss3_Heads,Toss4_Heads,Toss5_Heads,Toss6_Tails
2/5/2019 12:57:04,RU,50,50,50,50,50,50
2/5/2019 13:03:38,RU,50,50,50,50,50,50
2/5/2019 13:06:27,RU,50,50,50,50,50,50
2/5/2019 13:20:29,RU,70,90,97,99,100,99
2/5/2019 13:21:56,RU,50,50,50,50,50,50
2/5/2019 13:28:03,RU,50,50,50,50,50,50
2/5/2019 14:30:08,RU,70,84,92,97,98.5,96.7
2/5/2019 15:06:38,RU,70,83,93,97,99,97
2/5/2019 16:07:36,RU,50,50,50,50,50,50
2/5/2019 16:34:26,RU,50,50,50,50,50,50
2/5/2019 16:35:42,RU,50,50,50,50,50,50
2/5/2019 16:36:55,RU,50,50,50,50,50,50
2/5/2019 16:40:00,RU,70,84,93,97,99,97
2/5/2019 16:44:44,RU,10,50,100,100,100,100
2/5/2019 16:45:03,RU,70,84,93,97,99,97
2/5/2019 17:01:12,RU,70,84.4,92.8,96.7,98.8,96.7
2/5/2019 17:07:34,RU,50,50,50,50,50,50
2/5/2019 17:11:40,RU,30,40,50,60,70,80
2/5/2019 17:12:34,RU,50,50,50,66,75,75
2/5/2019 17:23:49,RU,70,84,93,97,99,97
2/5/2019 17:25:47,RU,57,78,86,89,91,93
2/5/2019 17:51:40,RU,50,53,68,75,85,85
2/5/2019 18:02:47,RU,50,70,70,70,70,70
2/5/2019 18:50:51,RU,50,50,50,50,50,50
2/5/2019 18:55:36,EN,70,85,93,97,99,99.38
2/5/2019 19:05:36,RU,70,84.48,92.7,96.74,98.57,96.73
2/5/2019 19:06:39,EN,50,50,50,50,50,50
2/5/2019 19:11:01,RU,70,79,79.3,79.4,79.43,79.4
2/5/2019 19:24:49,RU,50,50,70,100,100,100
2/5/2019 20:36:25,RU,50,50,50,100,100,100
2/5/2019 21:21:28,RU,50,75,90,95,95,95
2/5/2019 22:25:07,RU,70,80,90,95,95,95
2/5/2019 22:35:36,RU,25,50,50,50,40,50
2/5/2019 22:53:41,RU,70,91,97.3,99.19,99.757,88.2351
2/6/2019 0:01:34,RU,50,50,50,50,50,50
2/6/2019 0:14:18,RU,70,70,70,70,70,70
2/6/2019 4:31:42,RU,50,50,60,80,90,90
2/6/2019 8:48:09,RU,50,50,50,50,50,50
2/6/2019 11:37:18,RU,50,50,50,50,50,50
2/6/2019 14:27:27,RU,50,60,70,80,90,100
2/6/2019 16:04:03,RU,50,60,60,70,70,80
2/6/2019 19:27:01,RU,70,70,80,80,90,97
2/6/2019 20:12:50,RU,50,50,50,50,50,50
2/6/2019 20:58:03,RU,50,50,70,100,100,100
2/6/2019 22:37:36,RU,70,70,70,70,70,70
2/6/2019 23:29:40,RU,50,75,88,94,97,97
2/7/2019 2:20:40,RU,50,50,50,50,50,50
2/7/2019 2:45:03,RU,70,84,93,97,99,97
2/7/2019 2:45:17,RU,70,84,93,97,99,97
2/7/2019 2:48:02,RU,70,49,35,25,17,5
2/7/2019 2:55:11,RU,70,49,29,20,14,92